,0
0,Hawaii
1,Wyoming
2,Rhode Island
3,Nevada
4,Missouri
5,New Jersey
6,New Mexico
7,Arizona
8,North Dakota
9,Alaska
10,Kentucky
11,Florida
12,Washington
13,Nebraska
14,Georgia
15,Mississippi
16,Colorado
17,Idaho
18,Texas
19,North Carolina
20,Kansas
21,South Dakota
22,Iowa
23,Connecticut
24,Illinois
25,Vermont
26,New Hampshire
27,Virginia
28,West Virginia
29,Michigan
30,Alabama
31,Louisiana
32,Maryland
33,Delaware
34,Minnesota
35,Arkansas
36,New York
37,Oklahoma
38,Indiana
39,Montana
40,Tennessee
41,Oregon
42,Pennsylvania
43,Maine
44,South Carolina
45,Massachusetts
46,Utah
47,Wisconsin
